GAME_ID,EVENT_ID,INN_CT,TOTAL_INN,HOME_TEAM,OUTS_CT,HOME_SCORE_CT,AWAY_SCORE_CT,RUNNER_FIRST,RUNNER_SECOND,RUNNER_THIRD,PIT_ID,FULL_NAME,made_save,IP,sit_id,succ_rate,save_dif,year
CLE201309080,49,6,9,0,2,0,1,1,1,1,blacv001,Vic Black,False,1.33,062131.33,33.3,-1.4992503748125936,2013
CLE201309080,74,9,9,0,0,1,2,0,0,0,hawkl001,LaTroy Hawkins,True,1.0,090101.0,95.2,1.050420168067227,2013
CLE201309090,64,9,9,1,0,4,3,0,0,0,perec002,Chris Perez,True,1.0,090101.0,95.2,1.050420168067227,2013
CLE201309100,80,9,9,0,0,3,6,0,0,0,hollg001,Greg Holland,True,1.0,090301.0,99.2,1.0080645161290323,2013
CLE201309110,76,9,9,0,0,2,6,1,1,0,hollg001,Greg Holland,True,1.0,090421.0,50.0,2.0,2013
CLE201309200,46,6,7,1,2,2,1,0,0,0,shawb001,Bryan Shaw,True,1.33,062101.33,33.3,3.0030030030030033,2013
COL201004100,111,14,14,0,0,4,5,0,0,0,bellh001,Heath Bell,True,1.0,140101.0,85.7,1.1668611435239207,2010
COL201004110,73,9,9,1,0,4,2,0,0,0,moraf001,Franklin Morales,True,1.0,090201.0,97.3,1.027749229188078,2010
COL201004140,68,8,10,1,0,5,3,0,0,0,betar001,Rafael Betancourt,False,2.0,080202.0,45.5,-1.834862385321101,2010
COL201004280,31,3,10,0,0,1,6,1,1,1,rosal001,Leo Rosales,False,1.33,030531.33,14.3,-1.1668611435239207,2010
COL201005152,69,9,9,1,0,4,3,0,0,0,corpm001,Manuel Corpas,True,1.0,090101.0,95.2,1.050420168067227,2010
COL201006080,72,9,9,0,0,3,4,0,0,0,lindm001,Matt Lindstrom,True,1.0,090101.0,95.2,1.050420168067227,2010
COL201006120,66,9,9,1,0,1,0,0,0,0,corpm001,Manuel Corpas,True,1.0,090101.0,95.2,1.050420168067227,2010
COL201006180,67,9,9,1,0,2,0,0,0,0,corpm001,Manuel Corpas,True,1.0,090201.0,97.3,1.027749229188078,2010
COL201006220,66,9,9,1,0,2,0,0,0,0,belim001,Matt Belisle,True,1.0,090201.0,97.3,1.027749229188078,2010
COL201007030,77,8,9,0,2,8,9,1,1,0,wilsb001,Brian Wilson,True,1.33,082121.33,87.5,1.1428571428571428,2010
COL201007080,65,9,9,1,0,4,1,0,0,0,streh001,Huston Street,True,1.0,090301.0,99.2,1.0080645161290323,2010
COL201007090,57,6,9,0,1,5,7,1,0,0,webbr001,Ryan Webb,False,1.67,061211.67,33.3,-1.4992503748125936,2010
COL201007100,70,9,9,1,0,4,2,0,0,0,streh001,Huston Street,True,1.0,090201.0,97.3,1.027749229188078,2010
COL201007270,70,9,9,0,0,2,4,0,0,0,doteo001,Octavio Dotel,True,1.0,090201.0,97.3,1.027749229188078,2010
COL201008130,73,9,9,1,0,5,4,0,0,0,streh001,Huston Street,True,1.0,090101.0,95.2,1.050420168067227,2010
COL201008230,71,9,9,1,0,5,4,0,0,0,streh001,Huston Street,True,1.0,090101.0,95.2,1.050420168067227,2010
COL201008270,71,8,9,0,2,2,5,1,0,0,kuo-h001,Hong-Chih Kuo,True,1.33,082311.33,94.4,1.059322033898305,2010
COL201009020,69,7,9,1,0,7,6,0,0,0,delcm001,Manny Delcarmen,False,1.0,070101.0,50.0,-2.0,2010
COL201009110,67,9,9,1,0,2,1,0,0,0,streh001,Huston Street,True,1.0,090101.0,95.2,1.050420168067227,2010
COL201009140,70,8,9,0,2,4,6,1,0,1,bellh001,Heath Bell,True,1.33,082221.33,91.7,1.0905125408942202,2010
COL201009150,77,9,9,1,0,9,6,0,0,0,streh001,Huston Street,True,1.0,090301.0,99.2,1.0080645161290323,2010
COL201104010,61,7,11,0,0,4,6,0,0,0,gutij002,Juan Gutierrez,False,1.0,070201.0,50.0,-2.0,2011
COL201104020,66,9,9,1,0,3,0,0,0,0,streh001,Huston Street,True,1.0,090301.0,99.2,1.0080645161290323,2011
